,QuestionID,Question Text,TrustCategory,TrustAbsRelevance,TrustRelevance,JoyCategory,JoyAbsRelevance,JoyRelevance,AnticipationCategory,AnticipationAbsRelevance,AnticipationRelevance,SurpriseCategory,SurpriseAbsRelevance,SurpriseRelevance,SadnessCategory,SadnessAbsRelevance,SadnessRelevance,FearCategory,FearAbsRelevance,FearRelevance,AngerCategory,AngerAbsRelevance,AngerRelevance,DisgustCategory,DisgustAbsRelevance,DisgustRelevance,NoEmotion
0,45033467,"""I want to build a cloud based solution in which I would give a pool of images; and then ask for ""find similar image to a particular image from this pool of images""  !! Pool of images can be like ""all t-shirt"" images. Hence, similar images mean ""t-shirt with similar design/color/sleeves"" etc.Tagging solution won't work as they are at very high level.AWS Rekognition gives ""facial similarities"" .. but not ""product similarities"" .. it does not work like for images of dresses..I am open to use any cloud providers; but all are providing ""tags"" of the image which won't help me.One solution could be that I use some ML framework like MXNet/Tensorflow, create my own models, train them and then use.. But is there any other ready made solution on any of cloud providers ?""",False,0,0,False,0,0,True,1,100,False,0,0,False,0,0,False,0,0,False,0,0,True,1,100,False
1,45546462,"""I have problem with access to camera first time. I installed my app. Next go to scan to QR Code. I use to scan QR Code google vision. App show dialog, which show about the permissions, next click ""Allow"",but camera doesn't open. But I go back activity and go to activity which scan QR Code, camera open.my AdnroidManifest.xmlmy class""",False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,True
2,49619897,"""Using Airflow I want to get the result of an SQL Query fomratted as a pandas DataFrame.Above is the python function that I want to execute in a. Here is the DAG:But, the work step is throwing an exception. Here is the log :This exception is due to this, which accroding to the descriptionhides another exception, still strange because I'm not doing any insertion.What am I doing wrong? Maybe there is a problem withused in the. Or, dataFrame is not the way to go in order to handle query results.PS: result of""",False,0,0,False,0,0,True,3,100,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
3,55388663,"""I try to use Google Cloud Vision API to detect text of an image. After detecting, I get 1 page and 17 Blocks. I am trying to get text in each blocks and save it in a list, but it does not work. Here is my code:I would like to know is there any other way to get text. Thanks a lot.""",False,0,0,True,1,100,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,True,1,100,False
4,52833231,"""How can i write a test case in Junit for amazon Rekognition.For the above program I wanted to write a Junit testcase. Kindly help me with the same""",False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,True
5,47919331,"""With AWS Rekognition I was able to get faces detected in a mp4 video with the following nodejs,And was able to get the results with the following cli,and outputs the faces in the following json format,How to extract those faces as images and dump them in an s3 bucket?Thanks""",False,0,0,False,0,0,True,1,100,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
6,41895608,"""I am trying to implementMicrosoft Face API in C#using code available on GitHub.I followed all the steps given in :I have some errors like:1-The name """" does not exist in the namespace.2-The type '' was not found. Verify that you are not missing an assembly reference and that all referenced assemblies have been built.3-The tag '' does not exist in XML namespace ''. Line 8 Position 10.In Solution Explorer, """" appears: that means no user controls libraries are loaded.""",False,0,0,True,1,100,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
7,55122015,"""I am trying to use aws rekognition to compare faces but it will give an error saying check if the object and bucket exist in same regionwhile uploading the image i have set the content type to image/jpeg formatbut when i upload an image using aws console from computer the rekognition will work ! am i doing something wrong in this code""",False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,True
8,50145372,"""I'm pretty new to the google vision api and I am trying to make arequest.Currently I am reading from an image file, encoding it toand trying to pass it on to the requestBut I am getting aerror. Could anyone spot the error in the code?.""",False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,True
9,46676980,"""I am working on a lambda function that needs to access,andservices from AWS.I gaveandpermissions via theand thepolicies respectively and it worked fineThe thing is that I could not access myinstance insidebecause it's inside a VPCI changed my lambda network configurations so it would be able to access the VPC, and theconnection worked as expected, but then the connection tostopped working, whenever I invokefor example it just hangs.Am I missing some permission?""",False,0,0,False,0,0,True,1,100,False,0,0,False,0,0,True,1,100,False,0,0,False,0,0,False
